,CABLE-POP,CLASSIC,CLM5.0,DLEM,IBIS,ISAM,ISBA-CTRIP,JSBACH,JULES,LPJ-GUESS,LPX-Bern,ORCHIDEE,SDGVM,VISIT-NIES
1918,0.79903704,-0.36204776,0.4317663,-2.1552634,-1.7210091,0.33599943,0.7065352,0.20783404,3.983675,0.24163271,0.83890826,4.0024247,3.3603718,-3.6751108
1919,0.74479896,0.60159874,0.29184726,-2.3027143,-1.9772903,0.35721114,0.61793715,0.19141632,4.0350885,0.33076712,0.8581398,4.103012,3.4101331,-3.7987876
1920,0.68132,0.93305475,0.42890707,-2.2919827,-2.9610007,0.30302748,0.6286955,0.20360352,4.1745524,0.5111889,0.86909807,4.086549,3.3885882,-3.7785735
1921,0.82356185,1.1022513,0.44272387,-2.300358,-4.0025887,0.26990396,0.73136115,0.20079833,4.0040936,0.36874548,0.8440021,4.038453,3.5341518,-3.9004085
1922,0.83213353,2.0620158,0.4053659,-2.2201276,-2.117328,0.3056841,0.67414784,0.20166673,4.2772474,0.3034187,0.872536,4.2015576,3.8022509,-3.8922231
1923,0.9541028,-0.2759864,0.23623928,-2.478516,-1.6333156,0.36740273,0.64566237,0.21236247,4.2110343,0.47449023,0.93691105,4.4413342,3.5902941,-4.0812054
1924,0.8050319,0.99428916,0.55732846,-2.3189147,-2.3489301,0.3075777,0.7414376,0.1980674,4.2997847,0.4823825,0.9134845,4.414796,3.9085631,-3.9771
1925,0.96267325,0.7265162,0.3904147,-2.374308,-2.6985288,0.40711942,0.71313304,0.20174746,4.2617316,0.45483455,0.9468933,4.4609976,3.7413263,-4.063995
1926,1.0108728,1.1641606,0.3270725,-2.528964,-1.9980156,0.26161143,0.69640326,0.21353716,4.2614584,0.56525815,0.90690744,4.5250726,3.8190963,-4.2200646
1927,0.98619765,1.8277489,0.29559404,-2.3354254,-1.9186314,0.4214468,0.76466924,0.2072825,4.3330035,0.35579687,0.9305496,4.464249,3.8892531,-4.193256
1928,1.0354357,2.187944,0.29940698,-2.5723941,-3.2637317,0.25815237,0.82018435,0.21253201,4.425591,0.4453151,0.9739566,4.484508,3.9209301,-4.2734036
1929,0.90383244,1.0257301,0.61372817,-2.59773,-2.6129847,0.40388164,0.8031369,0.21547589,4.572759,0.37790298,0.9544443,4.5633116,3.934694,-4.421831
1930,1.0578692,0.49390325,0.63952017,-2.6282544,-1.8896381,0.2794524,0.83794534,0.23189056,4.441853,0.51819223,1.0103945,4.6693277,4.055047,-4.438086
1931,1.0673188,-0.06300587,0.4237198,-2.4727874,-1.9541732,0.3604965,0.86989504,0.20781574,4.4643025,0.35719782,1.0091771,4.6214247,3.9157028,-4.421409
1932,0.8836346,-1.3584629,0.5284473,-2.6556342,-2.646917,0.27733174,0.7185801,0.2235399,4.512233,0.5510643,1.0241182,4.5619507,4.0239377,-4.4866724
1933,0.9170763,3.2606134,0.64545804,-2.5313313,-2.73439,0.42236027,0.7923495,0.21821842,4.7151437,0.40774125,1.0137417,4.511226,3.9857433,-4.412881
1934,0.9790051,1.0139344,0.47713763,-2.5403593,-2.021552,0.2682676,0.8403856,0.22652923,4.6201067,0.6190274,0.938729,4.7171135,4.243266,-4.54782
1935,1.1146865,0.50861096,0.28258225,-2.742797,-2.2495422,0.42622927,0.69733644,0.23124902,4.7271547,0.5669867,1.0291704,4.9345345,4.5148106,-4.6164613
1936,1.1590126,1.1263729,0.62388486,-2.8776665,-3.5078006,0.28635183,0.68932915,0.24979419,4.8683386,0.3675946,1.1017767,4.8436146,4.4719787,-4.7327795
1937,1.3043677,-1.697471,0.4703814,-2.8822498,-3.470886,0.3943229,0.82585037,0.25376594,4.830372,0.58062685,1.1148244,4.9775267,4.344139,-4.773774
1938,1.186671,1.5136716,0.5212123,-2.6767876,-1.9893211,0.4213197,0.9895241,0.24954252,4.7601447,0.54496807,1.0686504,4.9994593,4.212763,-4.6804733
1939,1.1303298,3.1520195,0.4016886,-2.8390305,-2.9725099,0.4091704,0.78859895,0.23878163,4.7581563,0.5097622,1.0813525,4.994333,4.2229548,-4.8004785
1940,1.008457,2.2835176,0.56259304,-2.7982297,-2.9980893,0.3692606,0.7921579,0.25601432,4.9391713,0.5443107,1.0875957,4.972533,4.220192,-4.804154
1941,1.2537246,0.84366435,0.5464175,-2.794753,-2.7242448,0.38797098,0.8936888,0.24259989,4.719504,0.43155134,1.059435,4.895893,4.396405,-4.887639
1942,1.2483093,1.0480956,0.5496563,-2.6937032,-1.8248918,0.41941872,0.8018707,0.2424548,4.9514465,0.23335151,1.0850184,5.0745716,4.6390166,-4.8542504
1943,1.3516409,1.8846569,0.30589354,-3.0087016,-2.2950754,0.40273812,0.78439665,0.2514585,4.8863416,0.18317473,1.1416662,5.2472634,4.385894,-5.0750513
1944,1.1805565,2.3001611,0.6821847,-2.7953465,-2.4913576,0.3624126,0.90655965,0.23443522,4.959688,0.55718714,1.1100405,5.1818867,4.7202144,-4.947543
